date,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,10%,30%,70%,90%,Min,Median ('91-'20),Median (POR),Max,Median Peak SWE
10-01,0.1407407407,0.9610526316,0,0,0.0010309278,0,0,0,0,0.0029411765,0.0932038835,0.0116504854,0,0,0.0028301887,0.0028037383,0,0.0509090909,0,0.1017391304,0,0.0784482759,0.0127118644,0,0.0632,0,0,0,0.0353846154,0.0530769231,0,0,0.1576923077,0,0.0130769231,0,0.0215384615,0.0169230769,0,0,0,0,0,0.0142307692,0.0940574082,0,0,0,0.9610526316,
10-02,0.1185185185,1.0821052632,0,0,0.0010309278,0,0,0,0,0.0098039216,0.0737864078,0.0038834951,0,0.0323809524,0.0018867925,0,0,0.2436363636,0,0.0973913043,0,0.0620689655,0.0669491525,0,0.064,0,0,0,0.0146153846,0.1176923077,0,0,0.3984615385,0,0.0115384615,0,0.0161538462,0.0330769231,0.0407692308,0,0,0,0,0.0325897436,0.1177749288,0,0,0.0005154639,1.0821052632,
10-03,0.1,1.2168421053,0,0,0.0010309278,0.0102040816,0,0,0.001010101,0.0382352941,0.072815534,0.0757281553,0,0.0457142857,0,0,0,0.3854545455,0,0.0782608696,0,0.0482758621,0.0474576271,0,0.0568,0,0,0,0.0269230769,0.08,0,0.0107692308,0.5423076923,0,0.0115384615,0,0.0115384615,0.0407692308,0.0938461538,0,0,0,0,0.0462372881,0.0944615385,0,0,0.0056175047,1.2168421053,
10-04,0.0839506173,1.2831578947,0,0,0.0154639175,0.0030612245,0,0,0.001010101,0.2539215686,0.1145631068,0.2019417476,0,0.2019047619,0,0,0.0009174312,0.5790909091,0,0.0608695652,0.0077586207,0.0336206897,0.0381355932,0.0058823529,0.0616,0,0.0023076923,0,0.1576923077,0.0592307692,0,0.1046153846,0.4876923077,0,0.0161538462,0,0.01,0.0230769231,0.1023076923,0,0.0015384615,0,0,0.0610886957,0.2071397297,0,0,0.0088793103,1.2831578947,
10-05,0.0790123457,1.2336842105,0,0,0.0505154639,0.0040816327,0,0,0.002020202,0.2656862745,0.3446601942,0.1524271845,0.0009708738,0.32,0,0.0028037383,0.0009174312,0.5345454545,0,0.0565217391,0.0922413793,0.0344827586,0.0228813559,0.0890756303,0.2704,0.00078125,0.0384615385,0,0.2646153846,0.0415384615,0.0015384615,0.0969230769,0.3346153846,0.0061538462,0.0238461538,0,0.0092307692,0.0130769231,0.0661538462,0,0.04,0,0.0013681852,0.0820313311,0.3214615385,0,0,0.0233637549,1.2336842105,
10-06,0.0864197531,1.1884210526,0,0.0010526316,0.0391752577,0.0010204082,0,0,0.0050505051,0.3333333333,0.3155339806,0.1077669903,0.0009708738,0.3257142857,0.0009433962,0.0018691589,0.0027522936,0.4509090909,0,0.0791304348,0.0698275862,0.0275862069,0.0822033898,0.0924369748,0.3408,0.0078125,0.2446153846,0.0015384615,0.2353846154,0.0261538462,0.0030769231,0.12,0.2523076923,0.0330769231,0.0238461538,0,0.0092307692,0.0115384615,0.0238461538,0,0.0369230769,0,0.0024873532,0.0882249196,0.3264761905,0,0.0015625,0.025,1.1884210526,
10-07,0.1728395062,1.1484210526,0,0.0042105263,0.0340206186,0.0142857143,0,0.0171717172,0.0202020202,0.4254901961,0.3087378641,0.0766990291,0.0126213592,0.279047619,0.0056603774,0.0018691589,0.0027522936,0.3754545455,0,0.0834782609,0.0577586207,0.050862069,0.1228813559,0.0546218487,0.3176,0.03203125,0.7176923077,0.0030769231,0.1807692308,0.0176923077,0,0.1538461538,0.2407692308,0.0861538462,0.0238461538,0,0.0269230769,0.0092307692,0.0146153846,0,0.0246153846,0,0.0116041822,0.0971720991,0.3233854545,0,0.0015625,0.0294771635,1.1484210526,
10-08,0.5567901235,1.1010526316,0,0.0042105263,0.0309278351,0.143877551,0,0.0171717172,0.0818181818,0.3852941176,0.3165048544,0.0436893204,0.1611650485,0.2285714286,0.0396226415,0.0009345794,0.0036697248,0.3009090909,0,0.0756521739,0.050862069,0.0353448276,0.1279661017,0.0420168067,0.3176,0.04609375,0.7676923077,0.0023076923,0.1361538462,0.0115384615,0,0.1215384615,0.2238461538,0.2523076923,0.0269230769,0,0.0538461538,0.0053846154,0.0107692308,0,0.0169230769,0,0.0113076923,0.1384709576,0.3243694118,0,0.00390625,0.0448915352,1.1010526316,
10-09,0.812345679,1.0378947368,0,0.0063157895,0.0288659794,0.143877551,0,0.0191919192,0.1626262626,0.3323529412,0.2815533981,0.0300970874,0.1640776699,0.1761904762,0.0264150943,0.0046728972,0.0229357798,0.2281818182,0,0.0660869565,0.0793103448,0.0413793103,0.1118644068,0.0336134454,0.3368,0.05390625,0.8661538462,0,0.0976923077,0.0046153846,0,0.0953846154,0.2353846154,0.37,0.0261538462,0,0.1192307692,0.0046153846,0.0107692308,0,0.0115384615,0,0.0166651127,0.1495021645,0.34012,0,0.00390625,0.0476427802,1.0378947368,
10-10,0.8382716049,0.98,0,0.0073684211,0.0268041237,0.1173469388,0,0.0111111111,0.2555555556,0.3039215686,0.2718446602,0.0213592233,0.1611650485,0.1523809524,0.0160377358,0.0093457944,0.1825688073,0.1854545455,0,0.0530434783,0.2775862069,0.225,0.1,0.0394957983,0.3992,0.05078125,0.7923076923,0,0.0930769231,0.0161538462,0,0.0746153846,0.2969230769,0.4515384615,0.0576923077,0,0.1515384615,0.0038461538,0.01,0,0.0061538462,0,0.0145597484,0.1834345288,0.4044338462,0,0.01015625,0.0661538462,0.98,
10-11,0.8592592593,1.0263157895,0,0.0042105263,0.024742268,0.0969387755,0,0.0131313131,0.2838383838,0.2705882353,0.2504854369,0.013592233,0.145631068,0.1238095238,0.0103773585,0.1598130841,0.1412844037,0.1536363636,0,0.0495652174,0.3327586207,0.2060344828,0.0720338983,0.0495798319,0.4088,0.03515625,0.7430769231,0,0.6176923077,0.01,0,0.0630769231,0.2923076923,0.7238461538,0.1192307692,0.0023255814,0.1338461538,0.0030769231,0.0123076923,0.0007692308,0.0153846154,0,0.0128842269,0.1736795037,0.6283076923,0,0.0234375,0.0844863369,1.0263157895,
