date,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,10%,30%,70%,90%,Min,Median ('91-'20),Median (POR),Max
10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-02,0.2875,0.0125,0,0.0125,0,0,0,0,0,0,0,0,0,0,0,0,0.5625,0.025,0.07,0,0,0.03,0.0076923077,0,0.0214285714,0.0785714286,0,0,0.0357142857,0.0214285714,0,0,0.1142857143,0,0.0071428571,0,0,0.1071428571,0.0571428571,0.0357142857,0,0,0.0178571429,0.0842857143,0,0,0,0.5625
10-03,0.4,0.0125,0,0.025,0,0,0,0,0.0125,0,0.275,0.4625,0,0,0.0125,0,1.1625,0.05,0.08,0,0.12,0.03,0.0230769231,0.0071428571,0.1071428571,0.1285714286,0.0071428571,0.0142857143,0.0357142857,0.0714285714,0.0571428571,0.0214285714,0.4214285714,0,0.0071428571,0.0071428571,0.05,0.3214285714,0.0571428571,0.0357142857,0,0.0071428571,0.0571428571,0.3371428571,0,0,0.0214285714,1.1625
10-04,0.425,0.0125,0.0125,0.0625,0,0.0125,0.05,0,0.0875,0,0.275,0.5,0.05,0,0.05,0,1.45,0.1375,0.1,0,0.25,0.04,0.0461538462,0.0142857143,0.2357142857,0.35,0.0071428571,0.0214285714,0.0357142857,0.0928571429,0.0785714286,0.0214285714,0.7857142857,0,0.0071428571,0.0285714286,0.2642857143,0.3357142857,0.0785714286,0.0571428571,0,0.0132142857,0.0971428571,0.365,0,0,0.05,1.45
10-05,0.475,0.0125,0.025,0.0875,0,0.0375,0.0625,0,0.35,0.025,0.2875,0.5125,0.1,0,0.1,0,1.4625,0.175,0.2,0.03,0.37,0.04,0.8153846154,0.0571428571,1.2928571429,0.6857142857,0.0142857143,0.0214285714,0.0357142857,0.3642857143,0.0857142857,0.0285714286,1.2214285714,0,0.0071428571,0.0357142857,0.2642857143,0.35,0.0785714286,0.0928571429,0,0.0291428571,0.2782142857,0.7116483516,0,0.0428571429,0.0785714286,1.4625
10-06,0.475,0.0125,0.1125,0.0875,0,0.0375,0.0625,0.2875,0.7875,0.025,0.2875,0.5125,0.1125,0,0.1,0,1.475,0.2125,0.22,0.03,0.57,0.09,0.9,0.0714285714,2.7071428571,2.4,0.0142857143,0.0285714286,0.0357142857,0.9428571429,0.1,0.0357142857,1.2928571429,0,0.0071428571,0.3642857143,0.2714285714,0.35,0.0785714286,0.1071428571,0.0057142857,0.0364285714,0.325,1.0128571429,0,0.0928571429,0.1,2.7071428571
10-07,0.475,0.025,0.15,0.1,0,0.05,0.0625,1.125,0.8,0.025,0.2875,0.525,0.1125,0.15,0.1,0.0875,1.4875,0.225,0.24,0.04,1.47,0.11,0.9,0.0785714286,3.1,2.8,0.0142857143,0.0285714286,0.0357142857,0.9928571429,0.1,0.0428571429,1.9785714286,0,0.0071428571,0.3857142857,0.2785714286,0.35,0.0785714286,0.1142857143,0.0228571429,0.0689285714,0.3714285714,1.4735,0,0.1071428571,0.1125,3.1
10-08,0.475,0.025,0.175,0.1,0.1375,0.05,0.0625,1.15,0.8,0.025,0.3125,0.65,0.1125,0.1625,0.1,0.15,1.525,0.225,0.25,0.05,1.5,0.11,0.9076923077,0.1142857143,3.1142857143,2.8357142857,0.0142857143,0.0285714286,0.0357142857,1,0.1,0.0428571429,2.3,0,0.0071428571,0.3857142857,0.2857142857,0.3571428571,0.0785714286,0.1214285714,0.025,0.0871428571,0.3742857143,1.505,0,0.1142857143,0.15,3.1142857143
10-09,0.475,0.025,0.175,0.1,0.1375,0.05,0.075,1.175,0.8125,0.025,0.3125,0.65,0.1125,0.175,0.1125,0.2125,1.525,0.225,0.25,0.07,1.5,0.13,0.9076923077,0.1142857143,3.1142857143,2.8642857143,0.0214285714,0.05,0.0357142857,1,0.1071428571,0.0428571429,2.3642857143,0,0.0071428571,1.2928571429,0.2857142857,0.3642857143,0.0785714286,0.1214285714,0.025,0.0871428571,0.4307142857,1.505,0,0.1428571429,0.175,3.1142857143
10-10,0.5125,0.025,0.175,0.1,0.1375,0.05,0.075,1.175,0.8125,0.025,0.3125,0.65,0.1125,0.175,0.125,0.225,1.525,0.225,0.26,0.08,1.78,0.13,0.9076923077,0.1142857143,3.1285714286,2.8714285714,0.0214285714,0.5428571429,0.0428571429,1,0.1071428571,0.0428571429,2.3857142857,0,0.0071428571,1.3,0.3,0.3642857143,0.0857142857,0.6214285714,0.025,0.1028571429,0.5307142857,1.576,0,0.1928571429,0.175,3.1285714286
10-11,0.875,0.025,0.1875,0.1,0.1375,0.05,0.075,1.2375,0.825,0.025,0.3125,0.65,0.1125,0.175,1.45,0.225,1.525,0.2375,0.31,0.08,1.85,0.13,0.9615384615,0.1142857143,3.1357142857,2.8785714286,0.1428571429,0.7285714286,0.0428571429,1.0142857143,0.1071428571,0.0428571429,2.45,0,0.0071428571,1.3071428571,0.35,0.3642857143,0.0857142857,1.6571428571,0.0392857143,0.1092857143,0.7864285714,1.59,0,0.2714285714,0.225,3.1357142857
