date,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,10%,30%,70%,90%,Min,Median ('91-'20),Median (POR),Max,Median Peak SWE
10-01,0.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0142857143,0,0,0,0,0,0,0,0,0,0,0,0.9375,
10-02,0.975,0,0,0,0,0,0,0,0,0,0,0.0125,0,0,0,0,0.5125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0357142857,0,0,0,0,0,0.0025,0,0,0,0.975,
10-03,0.975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0857142857,0,0,0,0,0,0,0,0,0,0.975,
10-04,0.8875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9875,0,0,0,0,0,0,0,0,0.0357142857,0,0,0,0,0.0142857143,0,0,0,0,0,0,0,0,0,0,0,0,0.0028571429,0,0,0,0.9875,
10-05,0.825,0,0,0,0,0,0,0,0,0,0,0,0.0125,0,0,0,0.8875,0,0,0,0,0,0.1846153846,0.0285714286,0.0142857143,0.0428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0314285714,0,0,0,0.8875,
10-06,0.7,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0.7125,0,0,0,0,0.02,0.1615384615,0.0214285714,0.0714285714,0.9571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0894505495,0,0,0,0.9571428571,
10-07,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4875,0,0,0,0,0.01,0.1307692308,0.0071428571,0.1285714286,0.9357142857,0,0,0,0,0,0,0.2714285714,0,0,0,0,0,0,0,0,0,0,0.1589010989,0,0,0,0.9357142857,
10-08,0.6625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3875,0,0,0,0,0,0.0846153846,0,0.1142857143,0.9142857143,0,0,0,0,0,0,0.4571428571,0,0,0,0,0,0,0,0,0,0,0.1689285714,0,0,0,0.9142857143,
10-09,0.575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2875,0,0,0,0,0,0.0769230769,0,0.0857142857,0.8428571429,0,0,0,0,0,0,0.4428571429,0,0,0.1142857143,0,0,0,0,0,0,0,0.1489285714,0,0,0,0.8428571429,
10-10,0.4875,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.225,0,0,0,0.03,0,0.0538461538,0,0.0714285714,0.7,0,0.2571428571,0,0,0,0,0.3857142857,0,0,0.0785714286,0,0,0,0,0,0,0,0.2314285714,0,0,0,0.7,
10-11,0.525,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5625,0,0.1375,0,0,0,0.02,0,0.0230769231,0,0.0357142857,0.6,0.0071428571,0.2642857143,0,0,0,0,0.35,0,0,0.0714285714,0,0,0,0,0,0,0,0.2814285714,0,0,0,0.6,
10-12,0.7,0,0,0,0,0,0,0,0,0,0,0.3875,0,0,0.55,0,0.0875,0,0,0,0.02,0,0.1384615385,0,0.0142857143,0.4357142857,0.1357142857,0.2,0,0,0,0,0.3214285714,0,0,0.35,0,0,0,0,0,0,0.0085714286,0.3575,0,0,0,0.7,
10-13,0.675,0,0,0,0,0,0,0,0,0,0.025,0.3375,0,0,0.5375,0,0.05,0,0,0,0,0,0.1384615385,0,0,0.3,0.4214285714,0.1714285714,0,0,0,0,0.2714285714,0,0,0.7357142857,0,0,0,0,0,0,0,0.3542857143,0,0,0,0.7357142857,
