date,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,10%,30%,70%,90%,Min,Median ('91-'20),Median (POR),Max
10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-02,0,0.92,0,1.4545454545,0.2333333333,0,0,0,0,0,0.1666666667,0,0,0,0.0166666667,0.0083333333,0,0.1166666667,0.0083333333,0,0.0166666667,0.0083333333,0.0416666667,0.0166666667,0.05,0.025,0.0083333333,0.1166666667,0.0357142857,0.00625,0,0.0125,0.00625,0.00625,0,0.00625,0.01875,0,0.1,0,0,0.0625,0.00625,0.00625,0.0125,0,0,0,0.0166666667,0.1166666667,0,0,0.00625,1.4545454545
10-03,0.0090909091,2.12,0,1.6363636364,1.0083333333,0,0.0166666667,0,0,0.0083333333,0.1833333333,0,0,0,0.0166666667,0.025,0,0.1583333333,0.025,0,0.0416666667,0.025,0.1833333333,0.0916666667,0.1,0.025,0.0083333333,0.125,0.0571428571,0.03125,0.16875,0.31875,0.00625,0.01875,0.01875,0.0125,0.175,0,1.58125,0,0,0.09375,0.025,0.0125,0.0375,0.00625,0,0.0083333333,0.0847619048,0.2645833333,0,0,0.025,2.12
10-04,0.0090909091,2.16,0,1.6363636364,1.5916666667,0,0.1083333333,0,0,0.275,0.1833333333,0,0,0.0166666667,0.0333333333,0.0416666667,0,0.1916666667,0.025,0.0083333333,0.0583333333,0.0333333333,0.275,0.1666666667,0.1,0.0416666667,0.0166666667,0.1666666667,0.0714285714,0.03125,0.20625,0.44375,0.00625,0.025,0.0375,0.0125,0.21875,0,1.8,0,0,0.1125,0.60625,0.0125,0.05,0.0125,0,0.0125,0.1558333333,0.54125,0,0,0.0375,2.16
10-05,0.0090909091,2.17,0,1.6363636364,1.625,0.0166666667,0.1583333333,0,0,0.95,0.1833333333,0,0,0.0416666667,0.0416666667,0.0416666667,0.0083333333,0.225,0.0333333333,0.0083333333,0.25,0.05,0.3416666667,0.1916666667,0.1,0.0416666667,0.0916666667,0.2166666667,0.4285714286,0.03125,0.5875,0.7875,0.00625,0.025,0.05,0.15625,0.33125,0,1.8625,0,0,0.15625,0.725,0.03125,0.05,0.0375,0,0.02625,0.2116666667,0.885,0,0.01875,0.05,2.17
10-06,0.0181818182,2.17,0,1.9545454545,1.625,0.025,0.4916666667,0,0.0333333333,1.4416666667,0.1833333333,0,0,0.125,0.05,0.0666666667,0.025,0.225,0.0333333333,0.0083333333,0.275,0.05,0.4166666667,0.2166666667,0.1083333333,0.0416666667,0.1583333333,0.2333333333,0.6785714286,0.03125,1.625,0.90625,0.00625,0.03125,0.05625,0.95625,0.35,0,1.86875,0,0.01875,0.8375,0.7733333333,0.03125,0.05,0.04375,0,0.03125,0.335,1.5516666667,0,0.04375,0.0666666667,2.17
10-07,0.0181818182,2.19,0,2.0090909091,1.6333333333,0.2666666667,0.5166666667,0,0.0333333333,1.45,0.1833333333,0,0,1.2333333333,0.0583333333,0.075,0.025,0.2583333333,0.05,0.0083333333,0.3083333333,0.2,0.45,0.3166666667,0.1166666667,0.1666666667,0.5916666667,0.25,0.7571428571,0.05,2.05625,1.45,0.0125,0.0375,0.05625,1.25625,0.35625,0,2.20625,0,0,0.875,0.8625,0.0375,0.05,0.05625,0,0.04,0.5033333333,1.56,0,0.09375,0.1833333333,2.20625
10-08,0.0272727273,2.2,0,2.1090909091,1.6416666667,0.5416666667,0.55,0,0.0333333333,1.4916666667,0.1833333333,0,0.05,1.3833333333,0.075,0.0833333333,0.025,0.925,0.0833333333,0.0083333333,0.325,0.3333333333,0.5916666667,0.45,0.1166666667,0.175,0.7166666667,0.25,0.7928571429,0.05625,2.05625,1.5,0.01875,0.0375,0.08125,1.375,0.375,0,2.9125,0,0.0125,0.875,0.9625,0.06875,0.05625,0.075,0.0033333333,0.05625,0.6916666667,1.585,0,0.13125,0.1833333333,2.9125
10-09,0.0272727273,2.21,0,2.1545454545,1.6416666667,0.55,0.6666666667,0,0.0333333333,1.6,0.1833333333,0,0.05,1.4,0.125,0.1,0.025,1.0416666667,0.0833333333,0.0166666667,0.3583333333,0.5833333333,0.6166666667,0.5083333333,0.1166666667,0.3333333333,1.0666666667,0.3,0.8071428571,0.1125,2.0625,1.5875,0.03125,0.05,0.28125,1.4375,0.41875,0,3.0625,0,0.025,0.88125,1.0866666667,0.1375,0.06875,0.0875,0.0066666667,0.0716666667,0.779047619,1.625,0,0.20625,0.3,3.0625
10-10,0.0272727273,2.22,0,2.1909090909,1.6916666667,0.7583333333,1.1666666667,0,0.0333333333,1.625,0.1833333333,0,0.05,1.4,0.15,0.1,0.0333333333,1.1,0.0833333333,0.0166666667,0.4416666667,0.6,0.6666666667,0.5666666667,0.15,0.5333333333,1.3916666667,0.3,0.8214285714,0.14375,2.09375,1.6125,0.03125,0.05,0.575,1.44375,0.4375,0,3.09375,0,0.01875,0.88125,1.1625,0.1375,0.06875,0.31875,0.0066666667,0.0716666667,0.8692857143,1.665,0,0.23125,0.4375,3.09375
10-11,0.0272727273,2.3,0,2.2272727273,1.75,1.2583333333,1.5583333333,0,0.05,1.6333333333,0.1833333333,0,0.05,1.4083333333,0.1916666667,0.1,0.0333333333,1.1083333333,0.0833333333,0.0166666667,1.0916666667,0.6333333333,0.6833333333,0.6333333333,0.2,0.5416666667,1.5,0.3,0.8428571429,0.14375,2.09375,1.64375,0.03125,0.4625,0.625,1.44375,0.4375,0,3.2125,0,0.0125,0.88125,1.2133333333,0.1375,0.075,1.01875,0.005,0.0866666667,1.105,1.7075,0,0.31875,0.4625,3.2125
10-12,0.0454545455,2.46,0,2.2272727273,1.8416666667,1.275,2.5583333333,0,0.1083333333,1.6333333333,0.1833333333,0,0.05,1.5083333333,0.2333333333,0.1083333333,0.0333333333,1.125,0.0833333333,0.0166666667,2.05,0.6916666667,0.7,0.6666666667,0.2,0.5416666667,1.5416666667,0.3,1.15,0.14375,2.09375,1.65625,0.2375,0.50625,0.64375,1.45,0.4375,0,3.3375,0.04375,0.0125,0.99375,1.22,0.1375,0.075,1.94375,0.0141666667,0.1141666667,1.206,2.07625,0,0.36875,0.50625,3.3375
10-13,0.2090909091,2.47,0,2.2454545455,1.9583333333,1.3166666667,2.675,0.0166666667,0.1083333333,1.6416666667,0.1833333333,0,0.05,1.5083333333,0.2583333333,0.1083333333,0.0333333333,1.125,0.0916666667,0.0166666667,2.15,0.725,0.7333333333,0.6916666667,0.2,0.5833333333,1.5666666667,0.3,1.1642857143,0.14375,2.1,1.675,0.58125,0.51875,0.6625,1.45625,0.4375,0,3.38125,0.04375,0.0125,1.13125,1.2266666667,0.14375,0.0875,2.26875,0.0166666667,0.14375,1.2141904762,2.13,0,0.4375,0.58125,3.38125
10-14,0.3272727273,2.48,0.02,2.2727272727,1.9666666667,1.325,2.7,0.3916666667,0.1083333333,1.65,0.1833333333,0,0.05,1.5083333333,0.3333333333,0.1083333333,0.0333333333,1.1583333333,0.0916666667,0.025,2.1583333333,0.75,0.7333333333,0.7,0.2083333333,0.5833333333,1.7,0.3083333333,1.1928571429,0.14375,2.1,1.675,0.63125,0.51875,0.6875,1.45625,0.4375,0,3.55,0.04375,0.01875,1.21875,1.2266666667,0.14375,0.0875,3.2,0.0283333333,0.1516666667,1.2250833333,2.135,0,0.4625,0.5833333333,3.55
10-15,0.6272727273,2.49,0.04,2.2727272727,2.0083333333,1.325,2.725,0.4,0.9916666667,1.65,0.1833333333,0,0.05,1.5416666667,0.5333333333,0.1083333333,0.0333333333,1.2083333333,0.0916666667,0.025,2.1666666667,0.75,0.7333333333,0.7166666667,0.2416666667,0.625,1.9666666667,0.3083333333,1.2357142857,0.14375,2.1,1.675,0.64375,0.51875,0.71875,1.46875,0.45,0,3.71875,0.04375,0.0333333333,1.24375,1.2333333333,0.14375,0.09375,3.35,0.036,0.195,1.2421428571,2.14,0,0.4875,0.64375,3.71875
10-16,1.1363636364,2.57,0.04,2.2818181818,2.3833333333,1.4666666667,2.7416666667,0.4,1,1.6583333333,0.1833333333,0,0.05,1.6083333333,1.9833333333,0.1083333333,0.0333333333,1.2333333333,0.1,0.025,2.175,0.75,0.7333333333,0.7166666667,0.275,0.7916666667,2,0.3333333333,1.2642857143,0.14375,2.10625,1.675,0.64375,0.525,0.725,1.475,0.45,0,3.93125,0.04375,0.04,1.25625,1.86,0.14375,0.1,3.3625,0.04,0.2016666667,1.4733333333,2.2390909091,0,0.51875,0.7333333333,3.93125
10-17,1.2818181818,2.59,0.04,2.2818181818,2.55,1.9,2.7583333333,0.4,1,1.6583333333,0.1833333333,0,0.05,2.275,2.425,0.1166666667,0.0333333333,1.2333333333,0.1,0.025,2.1916666667,0.75,0.7416666667,0.725,0.2916666667,0.8,2.1583333333,0.375,1.2714285714,0.15,2.10625,1.675,0.64375,0.53125,0.725,1.86875,0.4625,0,4.31875,0.04375,0.0266666667,1.26875,2.3266666667,0.14375,0.1,3.3875,0.036,0.205,1.6716666667,2.3856666667,0,0.5375,0.7416666667,4.31875
10-18,1.3181818182,2.59,0.04,2.2909090909,2.85,2.1916666667,2.7583333333,0.4,1.0166666667,1.6583333333,0.1833333333,0,0.05,2.6416666667,2.5083333333,0.1166666667,0.0333333333,1.2333333333,0.1,0.025,2.1916666667,0.75,0.775,0.725,0.2916666667,1,2.1833333333,0.375,1.2928571429,0.15,2.125,1.68125,0.64375,0.53125,0.74375,2.0625,0.4625,0,4.38125,0.04375,0.0266666667,1.275,2.3466666667,0.175,0.1375,3.39375,0.036,0.205,1.6766666667,2.5573333333,0,0.55,0.75,4.38125
10-19,1.3181818182,2.59,0.04,2.3181818182,2.8666666667,2.2666666667,2.775,0.4,1.0166666667,1.6583333333,0.1833333333,0,0.05,2.6666666667,2.6,0.1166666667,0.0333333333,1.2333333333,0.1,0.025,2.225,0.75,0.825,0.7333333333,0.3,1.6333333333,2.1916666667,0.3833333333,1.3071428571,0.1625,2.1875,1.68125,0.64375,0.53125,0.75,2.21875,0.4625,0,4.44375,0.04375,0.0266666667,1.28125,2.36,0.175,0.65625,3.41875,0.036,0.3166666667,1.6766666667,2.596,0,0.575,0.75,4.44375
10-20,1.3181818182,2.59,0.04,2.6545454545,2.875,2.275,2.7833333333,0.4,1.1083333333,1.6666666667,0.3,0,0.05,2.675,2.6416666667,0.1166666667,0.0333333333,1.2416666667,0.1166666667,0.025,2.3333333333,0.7833333333,0.8583333333,0.7333333333,0.35,1.6833333333,2.3,0.3833333333,1.3071428571,0.1625,2.19375,1.6875,0.64375,0.5375,0.8,2.25625,0.4625,0,4.54375,0.04375,0.0333333333,1.2875,2.35,0.175,0.8375,3.425,0.036,0.3566666667,1.6866666667,2.6493939394,0,0.6,0.8375,4.54375
10-21,1.3181818182,2.59,0.04,2.7,2.95,2.3083333333,2.7833333333,0.4,1.1083333333,1.675,0.3166666667,0,0.225,2.6916666667,2.6833333333,0.1166666667,0.05,1.2583333333,0.1583333333,0.025,2.525,0.7833333333,0.8666666667,0.7333333333,0.4583333333,1.725,2.3583333333,0.3833333333,1.3071428571,0.18125,2.30625,1.6875,0.65625,0.5375,0.825,2.825,0.4625,0,4.56875,0.04375,0.0533333333,1.3,2.35,0.175,0.875,3.425,0.04625,0.3866666667,1.7175,2.6966666667,0,0.63125,0.8666666667,4.56875
10-22,1.3181818182,2.6,0.04,2.7272727273,3.1083333333,2.3083333333,2.7833333333,0.4166666667,1.1083333333,1.9166666667,0.3166666667,0.0583333333,0.2666666667,2.6916666667,2.725,0.1166666667,0.0583333333,1.3916666667,0.625,0.025,3.0333333333,0.7916666667,0.9166666667,0.75,1.1416666667,1.725,2.3583333333,0.3833333333,1.3214285714,0.1875,2.39375,1.6875,0.65625,0.5375,0.85625,3.10625,0.475,0,4.61875,0.04375,0.06,1.35,2.3875,0.175,0.8875,3.425,0.0583333333,0.4283333333,1.8783333333,2.7609090909,0,0.7,0.9166666667,4.61875
