date,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,10%,30%,70%,90%,Min,Median ('91-'20),Median (POR),Max,Median Peak SWE
10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0705882353,0,0,0,0,0,0,0,0,0,0,0,0.0705882353,
10-02,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0222222222,0,0,0,0,0,0,0,0,0,0,0,0,0.04,
10-03,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0055555556,0,0,0,0,0,0,0,0,0,0.0222222222,0,0,0,0,0,0,0,0,0,0,0,0,0.08,
10-04,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0222222222,0,0,0,0,0,0,0,0,0,0,0,0,0.08,
10-05,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0285714286,0,0.0125,0,0.0166666667,0,0,0,0,0,0,0,0,0,0.0222222222,0,0,0,0,0,0,0,0,0.0075,0,0,0,0.07,
10-06,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0.0083333333,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.00625,0,0.0388888889,0.0055555556,0,0,0,0,0,0,0,0,0.0222222222,0,0,0,0,0,0,0,0,0.0075,0,0,0,0.05,
10-07,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0.0083333333,0,0,0,0,0,0,0,0,0,0,0,0,0.0142857143,0,0.00625,0,0.0333333333,0.0055555556,0,0,0,0,0,0,0.0722222222,0,0,0,0,0,0,0,0,0,0,0.0075,0,0,0,0.0722222222,
10-08,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0230769231,0,0,0,0,0,0,0,0,0,0,0,0,0.0166666667,0.0055555556,0,0,0,0,0,0,0.2722222222,0,0.0222222222,0,0,0,0,0,0,0,0,0.0122222222,0,0,0,0.2722222222,
10-09,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0230769231,0,0,0.0142857143,0,0,0,0,0,0,0,0,0,0,0.0055555556,0,0,0,0,0,0,0.1444444444,0,0.0222222222,0,0,0,0,0,0,0,0,0.0107936508,0,0,0,0.1444444444,
10-10,0,0.03,0,0,0,0,0.0166666667,0,0,0,0,0,0,0,0.0153846154,0,0,0.0076923077,0,0,0.0142857143,0,0,0,0,0,0,0,0.00625,0,0,0.0055555556,0,0,0,0,0,0,0.0555555556,0,0.0222222222,0,0,0,0,0,0,0,0,0.0149450549,0,0,0,0.0555555556,
