date,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,10%,30%,70%,90%,Min,Median ('91-'20),Median (POR),Max
10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-02,0.3893939394,0.3424242424,0.0023809524,0.2183673469,0.0040816327,0.0010204082,0.0242424242,0.03,0.002970297,0.0079207921,0.0069306931,0.1240384615,0.0180952381,0.0085714286,0.0266666667,0.2757009346,0.0018518519,0.0128440367,0.009009009,0.3366071429,0.0692982456,0.105982906,0.0254237288,0.0279661017,0.3083333333,0.0107438017,0.0603174603,0.0085271318,0.0381679389,0.0007633588,0.0106870229,0.2083969466,0.020610687,0.0435114504,0.3618320611,0.0541984733,0.0061068702,0.0022900763,0.0717557252,0.1709923664,0.1809160305,0.0046153846,0.0053435115,0.0024398868,0.0087027027,0.0710184813,0.3050700935,0.0007633588,0,0.0260451977,0.3893939394
10-03,0.5833333333,0.546969697,0.005952381,0.4857142857,0.0051020408,0.0010204082,0.0585858586,0.18,0.0069306931,0.0108910891,0.0128712871,0.2596153846,0.039047619,0.2847619048,0.2504761905,0.408411215,0.0064814815,0.0201834862,0.0207207207,0.6964285714,0.2684210526,0.1299145299,0.0610169492,0.1550847458,0.3916666667,0.0165289256,0.1023809524,0.0162790698,0.0519083969,0.0022900763,0.0534351145,0.2465648855,0.0816793893,0.1290076336,0.6190839695,0.413740458,0.0183206107,0.0038167939,0.1053435115,0.486259542,0.5541984733,0.0084615385,0.0114503817,0.006005291,0.0188794734,0.2568736264,0.5408986815,0.0010204082,0.0217054264,0.0920301708,0.6964285714
10-04,0.7924242424,0.7106060606,0.0142857143,0.6806122449,0.0051020408,0.0020408163,0.2272727273,0.205,0.0138613861,0.0376237624,0.0148514851,0.6471153846,0.1457142857,0.719047619,0.3371428571,0.7747663551,0.0074074074,0.0321100917,0.0243243243,1.0651785714,0.3456140351,0.1478632479,0.1084745763,0.3161016949,0.4358333333,0.0785123967,0.1650793651,0.0519379845,0.1045801527,0.0061068702,0.2610687023,0.2618320611,0.1694656489,0.3595419847,0.6702290076,0.5824427481,0.034351145,0.0061068702,0.1129770992,0.5396946565,0.6480916031,0.01,0.1106870229,0.0076666667,0.041918029,0.3553635998,0.707606679,0.0020408163,0.1108527132,0.167272507,1.0651785714
10-05,0.8424242424,0.8924242424,0.0202380952,0.7173469388,0.0051020408,0.0387755102,0.4323232323,0.214,0.0178217822,0.0554455446,0.0326732673,0.8192307692,0.5285714286,0.7457142857,0.36,1.0869158879,0.0083333333,0.0972477064,0.0369369369,1.1526785714,0.3728070175,0.1888888889,0.4508474576,0.4754237288,0.5366666667,0.5099173554,0.5206349206,0.1503875969,0.4419847328,0.0160305344,0.4595419847,0.2770992366,0.1946564885,0.3900763359,0.6877862595,0.9167938931,0.0496183206,0.0076335878,0.1175572519,0.5534351145,0.6595419847,0.0130769231,0.4450381679,0.0162096591,0.1033405701,0.5261904762,0.8401048951,0.0051020408,0.2217054264,0.3814416767,1.1526785714
10-06,0.8590909091,0.9727272727,0.0369047619,0.7397959184,0.006122449,0.1051020408,0.4414141414,0.234,0.0227722772,0.0613861386,0.1069306931,1.0855769231,0.560952381,0.7580952381,0.3666666667,1.1869158879,0.0231481481,0.1064220183,0.0441441441,1.1794642857,0.3947368421,0.2735042735,0.4915254237,0.7703389831,0.9066666667,0.6669421488,0.6674603175,0.4054263566,0.8755725191,0.0320610687,0.4961832061,0.2893129771,0.4664122137,0.4503816794,0.7007633588,1.0832061069,0.0534351145,0.0091603053,0.1893129771,0.5755725191,0.6679389313,0.0161538462,0.5106870229,0.0240394402,0.1316453783,0.6677953471,0.9661212121,0.006122449,0.3031007752,0.4458979104,1.1869158879
10-07,0.8696969697,1.0045454545,0.3130952381,0.7530612245,0.0071428571,0.193877551,0.4454545455,0.359,0.0306930693,0.1574257426,0.297029703,1.3384615385,0.6,0.7666666667,0.4180952381,1.2317757009,0.0768518519,0.1137614679,0.0648648649,1.1928571429,0.4043859649,0.3307692308,0.5245762712,1.5398305085,1.09,0.6801652893,0.6952380952,0.7627906977,1.6618320611,0.0351145038,0.5290076336,0.3045801527,0.541221374,0.5129770992,0.7053435115,1.265648855,0.0541984733,0.0099236641,0.393129771,0.5816793893,0.672519084,0.0184615385,0.5282442748,0.0370229008,0.3071346783,0.7023118866,1.2278838451,0.0071428571,0.3751937984,0.5187766852,1.6618320611
10-08,0.8878787879,1.0136363636,0.994047619,0.7581632653,0.0071428571,0.2479591837,0.4555555556,0.795,0.0396039604,0.197029703,0.7217821782,1.3932692308,0.6380952381,0.7733333333,0.859047619,1.2579439252,0.162962963,0.1229357798,0.0855855856,1.1991071429,0.4166666667,0.3495726496,0.5728813559,1.6559322034,1.1491666667,0.6958677686,0.746031746,1.0217054264,1.8335877863,0.0404580153,0.5473282443,0.3190839695,0.558778626,0.5496183206,0.7114503817,1.613740458,0.058778626,0.0106870229,0.4847328244,0.5969465649,0.6778625954,0.0207692308,0.5404580153,0.0422900763,0.3697008547,0.7885,1.252060247,0.0071428571,0.4821705426,0.6175209015,1.8335877863
10-09,0.9121212121,1.05,1.3523809524,0.7704081633,0.0071428571,0.2591836735,0.4616161616,0.887,0.0415841584,0.2237623762,0.9900990099,1.4144230769,0.6504761905,0.78,1.0142857143,1.2663551402,0.1777777778,0.1550458716,0.1585585586,1.2053571429,0.4210526316,0.3623931624,0.7440677966,1.7296610169,1.1925,0.7024793388,0.7936507937,1.1465116279,2.0427480916,0.0473282443,0.5557251908,0.3389312977,0.5664122137,0.5786259542,0.7580152672,1.8404580153,0.0618320611,0.0145038168,0.8740458015,0.6053435115,0.6801526718,0.0238461538,0.558778626,0.048778626,0.3799910031,0.9045848485,1.3437783712,0.0071428571,0.5387596899,0.6913160053,2.0427480916
10-10,1.003030303,1.053030303,1.4452380952,0.7795918367,0.0112244898,0.3010204082,0.4636363636,0.926,0.0425742574,0.2267326733,1.2297029703,1.4317307692,0.6580952381,0.7838095238,1.1104761905,1.2691588785,0.1824074074,0.1917431193,0.4900900901,1.2071428571,0.4350877193,0.3675213675,1.1338983051,2.086440678,1.2125,0.732231405,0.8833333333,1.2170542636,2.0786259542,0.0526717557,0.5992366412,0.4564885496,0.5717557252,0.6106870229,0.8450381679,2.0061068702,0.1076335878,0.0145038168,1.1679389313,0.6183206107,0.6824427481,0.0269230769,0.6427480916,0.0581679389,0.4586328938,1.0932424242,1.4154735802,0.0112244898,0.6271317829,0.7073370765,2.086440678
10-11,1.1939393939,1.0848484848,1.6261904762,0.9785714286,0.0183673469,0.3214285714,0.4717171717,0.949,0.0445544554,0.2366336634,1.3712871287,1.4432692308,0.6723809524,0.7895238095,1.2038095238,1.2710280374,0.1861111111,0.5229357798,0.5063063063,1.2196428571,0.4640350877,0.394017094,1.2728813559,2.1974576271,1.2208333333,0.7842975207,0.9055555556,1.2465116279,2.1496183206,0.0709923664,1.2160305344,0.4954198473,0.5740458015,0.6488549618,0.8839694656,2.3801526718,0.2,0.0381679389,1.2007633588,0.627480916,0.6992366412,0.0276923077,1.0557251908,0.0825042409,0.498685785,1.2028956743,1.4360710206,0.0183673469,0.723255814,0.7869106651,2.3801526718
